scei;nom;etat;total_oral;total_points;moyenne_generale;rang_classe
92219;LEMONNIER;7;108;467;7,78;3162
110000;RIOU;7;175;392,75;6,55;3169
52765;POIRIER;7;181;405;6,75;3168
67778;DUPONT;7;181,5;433,75;7,23;3164
110803;RUIZ;7;185,5;428;7,13;3165
80275;LACROIX;7;192,5;567;9,45;3006
56062;PASCAL;7;201;420,75;7,01;3166
5215;MENARD;7;201,5;420;7;3167
20142;REYNAUD;7;208;595,5;9,93;2863
8130;MOREAU;7;211;588,5;9,81;2893
67746;BOULANGER;7;213;449,25;7,49;3160
29665;POTTIER;7;213;617,75;10,3;2698
33698;RENAULT;7;213;662,25;11,04;2229
93125;FERRAND;7;215,5;452;7,53;3159
17811;NEVEU;7;217;567,5;9,46;3004
76617;BUISSON;7;217,5;578,5;9,64;2955
10844;RODRIGUEZ;7;218;441,25;7,35;3163
97640;PARIS;7;218;588,5;9,81;2894
49069;BAZIN;7;219;571,75;9,53;2991
75536;LEROY;7;221,5;634,5;10,58;2537
108528;BONNIN;7;222;576;9,6;2968
23848;MAURY;7;224;518,5;8,64;3126
1395;VERDIER;7;224;589;9,82;2890
106003;THIERRY;7;224,5;447,25;7,45;3161
115201;GILLES;7;225;643,25;10,72;2429
55800;BENOIT;7;226;597,25;9,95;2848
25791;CARRE;7;227;632,5;10,54;2559
1673;FERREIRA;7;228;537,75;8,96;3093
89816;GUYON;7;228,5;465,75;7,76;3154
118044;LAROCHE;7;229;511,25;8,52;3134
11961;ROCHER;7;229;541,75;9,03;3083
67301;ROUSSEL;7;229;595;9,92;2865
46629;BESNARD;7;230;464,5;7,74;3156
99039;LEGROS;7;230;592;9,87;2881
89336;RUIZ;7;230;642;10,7;2446
41944;LANGLOIS;7;231,5;509,5;8,49;3137
7127;BARRE;7;231,5;592,25;9,87;2879
116323;DESCAMPS;7;232,5;503,75;8,4;3143
116926;FRANCOIS;7;233,5;452,5;7,54;3158
70648;THIERRY;7;234;467;7,78;3153
105083;MAHE;7;234;602;10,03;2821
45877;PASQUIER;7;234;620,25;10,34;2683
64389;GAILLARD;7;236;480,5;8,01;3144
89571;DUPONT;7;236;587,5;9,79;2901
93343;HOARAU;7;236;623,5;10,39;2648
86399;GREGOIRE;7;236;638,5;10,64;2490
46888;DAVID;7;236,5;475,25;7,92;3147
107629;MERCIER;7;236,5;633;10,55;2554
96321;FISCHER;7;237;462;7,7;3157
97843;VIDAL;7;237;500,75;8,35;3117
3914;MILLET;7;237;537,75;8,96;3092
82862;MERLE;7;237;560;9,33;3034
43080;CHARPENTIER;7;237;648;10,8;2366
4469;DUPRE;7;237,5;596,25;9,94;2858
36908;CHARLES;7;239;595;9,92;2866
64749;BERTIN;7;239;606,75;10,11;2778
51267;HUET;7;240;544,5;9,08;3077
92129;PELLETIER;7;240;555,5;9,26;3054
65787;PERRIN;7;241;470,5;7,84;3151
58107;HENRY;7;241;527;8,78;3114
3461;ROUX;7;241,5;482,25;8,04;3141
115969;THIERRY;7;241,5;627;10,45;2616
11232;NOEL;7;242;490;8,17;3132
64369;MEUNIER;7;242;610,5;10,18;2756
63321;OLLIVIER;7;242;631,25;10,52;2575
36556;NICOLAS;7;242,5;464,75;7,75;3155
34399;RENAULT;7;243;470,75;7,85;3149
67391;LE ROUX;7;243;629,5;10,49;2589
62630;LE GALL;7;243;640,25;10,67;2472
78797;VASSEUR;7;243,5;622,75;10,38;2656
8184;GUILLET;7;244;597,75;9,96;2843
25875;GARCIA;7;244;669;11,15;2150
81822;BLOT;7;245,5;467;7,78;3152
115729;RODRIGUES;7;245,5;478,5;7,98;3145
45380;MARECHAL;7;245,5;498,25;8,3;3122
83179;GALLET;7;246;627,75;10,46;2607
27287;PAYET;7;247;470,5;7,84;3150
88987;DIAZ;7;247;645,25;10,75;2406
56540;BAILLY;7;248;549,25;9,15;3066
102223;LE GALL;7;248;606,5;10,11;2782
96585;HUET;7;248;651,75;10,86;2320
38517;TOUSSAINT;7;248;658,25;10,97;2273
100869;WEBER;7;248;667;11,12;2171
64584;LETELLIER;7;248,5;487,25;8,12;3136
97383;DAVID;7;249;558,5;9,31;3044
16435;RIBEIRO;7;249;601,5;10,03;2825
82686;GARCIA;7;250;603,5;10,06;2806
96466;JOURDAN;7;250;627,25;10,45;2612
22254;LEFEVRE;7;250;629,5;10,49;2590
98469;RUIZ;7;251;511;8,52;3101
89047;GARCIA;7;251;597,25;9,95;2847
119855;BONNEAU;7;251;643,75;10,73;2425
555;GOSSELIN;7;251;650;10,83;2341
32988;LEDUC;7;252;547,25;9,12;3070
64709;BRUNET;7;252;547,75;9,13;3069
16805;BERGER;7;252;630,75;10,51;2581
40850;MACE;7;252;631,5;10,53;2570
114130;SANCHEZ;7;252;633,25;10,55;2550
8740;GAUDIN;7;252;634,5;10,58;2536
13192;RENARD;7;252;635,25;10,59;2532
83795;FRANCOIS;7;252;647,5;10,79;2378
92421;LEGRAND;7;252,5;473,5;7,89;3148
30598;PERON;7;252,5;491;8,18;3131
16891;VALLET;7;253,5;495,5;8,26;3127
57091;MASSE;7;254,5;484,25;8,07;3139
80351;AUBERT;7;255;629;10,48;2597
16964;LECOMTE;7;255;661,5;11,03;2239
112075;ROLLAND;7;255,5;623;10,38;2654
33061;MICHAUD;7;256;624,75;10,41;2639
85373;DEVAUX;7;256;646,25;10,77;2395
31590;LEMOINE;7;256,5;649,25;10,82;2349
90845;RENAUD;7;257;475,5;7,93;3146
106248;CHAUVEAU;7;257;496,5;8,28;3125
5633;DUHAMEL;7;257;513;8,55;3097
92514;MARTY;7;257;635,5;10,59;2529
23770;MARION;7;257,5;659,75;11;2255
36015;BECKER;7;258;533,75;8,9;3099
34209;PERRIER;7;259;606;10,1;2785
116443;BERTIN;7;260;644,25;10,74;2418
36836;ETIENNE;7;260,5;483,25;8,05;3140
