scei;nom;etat;total_oral;total_points;moyenne_generale;rang_classe
13571;LEGENDRE;7;130,5;491,25;8,19;2576
17257;LE GOFF;7;160,5;439,5;7,33;2583
91599;GUERIN;7;172;521,5;8,69;2560
21807;MASSE;7;181;529;8,82;2551
59908;SAUVAGE;7;182;430;7,17;2584
94284;MATHIEU;7;182;534,5;8,91;2542
64715;BIGOT;7;193;611,5;10,19;2267
76057;PETIT;7;198;564,5;9,41;2477
34648;GROS;7;200;564;9,4;2480
66048;BOUCHER;7;200,5;589,25;9,82;2384
56102;VALENTIN;7;202;549,5;9,16;2515
107636;MAILLOT;7;203;560;9,33;2492
73496;MORENO;7;205;571,25;9,52;2459
94933;GAUDIN;7;207;591,25;9,85;2374
41395;CHARTIER;7;209;550;9,17;2513
65941;DIJOUX;7;209;589;9,82;2385
33762;GUILBERT;7;213;560,25;9,34;2490
14290;TRAORE;7;214;600,25;10;2338
25430;DEVAUX;7;215;477;7,95;2581
100989;LECONTE;7;218,5;631;10,52;2157
118722;ROYER;7;219;584;9,73;2404
43117;BOUVIER;7;222,5;493,25;8,22;2575
112029;ANTOINE;7;223;598,25;9,97;2350
111753;GILLES;7;224;589,5;9,83;2382
70496;TEIXEIRA;7;224;598,25;9,97;2349
19254;DELMAS;7;224;601,75;10,03;2326
74938;MARTINEZ;7;224;655;10,92;1964
94030;DAVID;7;225;643,25;10,72;2077
37829;PETIT;7;226;604,75;10,08;2309
33248;GODARD;7;227;597,75;9,96;2352
101670;MOREAU;7;229;599,75;10;2339
90288;PEREZ;7;229,5;642,75;10,71;2084
54953;AUBRY;7;232;519,5;8,66;2561
50330;SALMON;7;232;593,75;9,9;2364
72010;AUGER;7;232,5;471,75;7,86;2582
117612;JACQUES;7;232,5;637;10,62;2125
110100;FOURNIER;7;235,5;496,75;8,28;2572
61206;HAMON;7;236,5;481,25;8,02;2579
44888;ROGER;7;236,5;501,75;8,36;2570
115543;MARTINS;7;237;532,25;8,87;2546
50047;AUBERT;7;237;610,25;10,17;2274
78348;DESCAMPS;7;237;634,75;10,58;2135
83076;PERON;7;237,5;487;8,12;2577
7747;PASCAL;7;238;486;8,1;2578
45558;MAILLARD;7;238;634,25;10,57;2138
36684;VALLEE;7;239;478,5;7,98;2580
106564;LE ROUX;7;239;594;9,9;2363
250;PEREIRA;7;239,5;588,75;9,81;2387
63890;GUILLOT;7;240;576,25;9,6;2443
79798;MICHEL;7;240;653,5;10,89;1979
12319;BECKER;7;241;520;8,67;2559
40976;COLAS;7;242;596,25;9,94;2358
763;TORRES;7;243;565,5;9,43;2473
8743;FABRE;7;243;606,25;10,1;2302
107895;LOPES;7;243,5;517,5;8,63;2562
51339;DELAHAYE;7;244;604,5;10,08;2310
7982;GREGOIRE;7;244,5;646,5;10,78;2047
26765;GILBERT;7;245;646,5;10,78;2048
2068;LELEU;7;246;517;8,62;2564
795;RUIZ;7;247;601,25;10,02;2330
15385;BLIN;7;247,5;494,25;8,24;2574
104057;BRETON;7;248;599,5;9,99;2342
63364;RENAULT;7;248,5;529;8,82;2550
76570;MAURICE;7;249;628,5;10,48;2172
58858;MARECHAL;7;250;560,5;9,34;2488
24092;BECKER;7;250,5;623,25;10,39;2201
36214;LE ROUX;7;251,5;496,25;8,27;2573
119006;BONNEAU;7;251,5;516,5;8,61;2565
72383;ROYER;7;251,5;614,5;10,24;2251
77024;JOUBERT;7;252;599,5;9,99;2343
103659;LE GOFF;7;253;532,25;8,87;2544
66105;BOUSQUET;7;253;609,5;10,16;2278
8488;NGUYEN;7;253;623,5;10,39;2198
80457;GUILBERT;7;253,5;656;10,93;1957
46522;MICHAUD;7;254;530;8,83;2547
99863;ROBIN;7;254;565,25;9,42;2474
16938;LAPORTE;7;255;545,25;9,09;2520
18779;HERVE;7;255;627,75;10,46;2176
45903;CHARTIER;7;255;627,5;10,46;2178
84320;RAMOS;7;255,5;649,75;10,83;2015
14930;LETELLIER;7;256;517,5;8,63;2563
86446;IMBERT;7;256;605;10,08;2308
100913;MERCIER;7;256;613,25;10,22;2260
